"award_date","publish_date","title","award","authors","abstract"
"2024","ASIACRYPT 2009","Fiat-Shamir with Aborts: Applications to Lattice and
            Factoring-Based Signatures","IACR Test of Time Award: For
            inventing the abort technique in the Fiat-Shamir transformation, which became the foundation of the
            NIST-standardized Dilithium lattice-based signature scheme.","Vadim
              Lyubashevsky",""
"2024","ASIACRYPT 2009","Efficient Public Key Encryption Based on Ideal
            Lattices","IACR Test of Time Award: For
            introducing the first efficient public-key encryption scheme with security based on the worst-case hardness
            of the approximate Shortest Vector Problem in structured ideal lattices.","Damien
              Stehlé, Ron Steinfeld, Keisuke Tanaka, Keita Xagawa",""
"2024","CRYPTO 2024","Space-Efficient and Noise-Robust Quantum
            Factoring","Best paper award","Seyoon
              Ragavan, Vinod Vaikuntanathan","We provide two improvements to Regev's recent
          quantum factoring algorithm (arXiv:2308.06572), addressing its space efficiency and its noise-tolerance.

          Our first contribution is to improve the quantum space efficiency of Regev's algorithm while keeping the
          circuit size the same. Our main result constructs a quantum factoring circuit using $O(n \log n)$ qubits and
          $O(n^{3/2} \log n)$ gates. We achieve the best of Shor and Regev (upto a logarithmic factor in the space
          complexity): on the one hand, Regev's circuit requires $O(n^{3/2})$ qubits and $O(n^{3/2} \log n)$ gates,
          while Shor's circuit requires $O(n^2 \log n)$ gates but only $O(n)$ qubits. As with Regev, to factor an
          $n$-bit integer $N$, we run our circuit independently $\approx \sqrt{n}$ times and apply Regev's
          classical postprocessing procedure.

          Our optimization is achieved by implementing efficient and reversible exponentiation with Fibonacci numbers in
          the exponent, rather than the usual powers of 2, adapting work by Kaliski (arXiv:1711.02491) from the
          classical reversible setting to the quantum setting. This technique also allows us to perform quantum modular
          exponentiation that is efficient in both space and size without requiring significant precomputation, a result
          that may be useful for other quantum algorithms. A key ingredient of our exponentiation implementation is an
          efficient circuit for a function resembling \emph{in-place} quantum-quantum modular multiplication. This
          implementation works with only black-box access to any quantum circuit for \emph{out-of-place} modular
          multiplication, which we believe is yet another result of potentially broader interest.

          Our second contribution is to show that Regev's classical postprocessing procedure can be modified to
          tolerate a constant fraction of the quantum circuit runs being corrupted by errors. In contrast, Regev's
          analysis of his classical postprocessing procedure requires all $\approx \sqrt{n}$ runs to be successful. In a
          nutshell, we achieve this using lattice reduction techniques to detect and filter out corrupt samples."
"2024","CRYPTO 2024","STIR: Reed–Solomon Proximity Testing with Fewer
            Queries","Best paper award","Gal
              Arnon, Alessandro Chiesa, Giacomo Fenzi, Eylon Yogev","We present STIR (Shift To Improve Rate), a concretely
          efficient interactive oracle proof of proximity (IOPP) for Reed--Solomon codes that achieves the best known
          query complexity of any concretely efficient IOPP for this problem. Roughly, in order to achieve $\lambda$
          bits of security, STIR has query complexity $O(\log d + \lambda \cdot \loglog d )$, while the popular FRI
          protocol (including variants based on conjectured security assumptions) has query complexity $O(\lambda \cdot
          \log d )$. STIR relies on a new technique for recursively reducing the degree of the function being tested
          while simultaneously improving the rate.

          We provide an implementation of STIR compiled to a SNARK. Compared to FRI, our implementation achieves an
          improvement in argument size that ranges from $1.25\times$ to $2.46\times$ depending on the chosen parameters.
          For example, in order to achieve 128 bits of security for degree $2^{26}$ and rate $1/4$, STIR has argument
          size $114$~KiB, compared to $211$~KiB for FRI."
"2024","CRYPTO 2024","Lossy Cryptography from Code-Based
            Assumptions","Best Paper Authored by Early Career
            Researchers","Quang
              Dao, Aayush Jain","Over the past few decades, we have seen a proliferation
          of advanced cryptographic primitives with lossy or homomorphic properties built from various assumptions such
          as Quadratic Residuosity, Decisional Diffie-Hellman, and Learning with Errors. These primitives imply hard
          problems in the complexity class $\mathcal{SZK}$ (statistical zero-knowledge); as a consequence, they can only
          be based on assumptions that are broken in $\mathcal{BPP}^{\mathcal{SZK}}$.
          This poses a barrier for building advanced cryptography from code-based assumptions such as Learning Parity
          with Noise (LPN), as LPN is only known to be in $\mathcal{BPP}^{\mathcal{SZK}}$ under an extremely low noise
          rate $\frac{\log^2 n}{n}$, for which it is broken in quasi-polynomial time.

          In this work, we propose a new code-based assumption: Dense-Sparse LPN, that falls in the complexity class
          $\mathcal{BPP}^{\mathcal{SZK}}$ and is conjectured to be secure against subexponential time adversaries. Our
          assumption is a variant of LPN that is inspired by McEliece's cryptosystem and random $k\mbox{-}$XOR in
          average-case complexity. Roughly, the assumption states that
          \[(\mathbf{T}\, \mathbf{M}, \mathbf{s} \,\mathbf{T}\, \mathbf{M} + \mathbf{e}) \quad \text{is
          indistinguishable from}\quad (\mathbf{T} \,\mathbf{M}, \mathbf{u}),\]
          for a random (dense) matrix $\mathbf{T}$, random sparse matrix $\mathbf{M}$, and sparse noise vector
          $\mathbf{e}$ drawn from the Bernoulli distribution with inverse polynomial noise probability.

          We leverage our assumption to build lossy trapdoor functions (Peikert-Waters STOC 08). This gives the first
          post-quantum alternative to the lattice-based construction in the original paper. Lossy trapdoor functions,
          being a fundamental cryptographic tool, are known to enable a broad spectrum of both lossy and non-lossy
          cryptographic primitives; our construction thus implies these primitives in a generic manner. In particular,
          we achieve collision-resistant hash functions with plausible subexponential security, improving over a prior
          construction from LPN with noise rate $\frac{\log^2 n}{n}$ that is only quasi-polynomially secure."
"2024","CRYPTO 2009","Reconstructing RSA Private Keys from Random Key
            Bits","IACR Test of Time Award: For
            introducing the go-to tool for side channel attacks on CRT-RSA that played a pivotal role in helping secure
            the Internet.","Nadia
              Heninger, Hovav Shacham",""
"2024","CRYPTO 2009","Dual System Encryption: Realizing Fully Secure IBE and
            HIBE under Simple Assumptions","IACR Test of Time Award: For
            introducing the dual-system technique, breaking through the partitioning-reductions barrier of pairing-based
            cryptography and enabling new and improved pairing-based cryptosystems.","Brent
              Waters",""
"2024","EUROCRYPT 2009","A Unified Framework for the Analysis of Side-Channel
            Key Recovery Attacks","IACR Test of Time Award: For
            introducing a structured approach for evaluation of side-channel attacks and countermeasures","François-Xavier
              Standaert, Tal Malkin, Moti Yung",""
"2024","PKC 2007","Traceable Ring Signature","PKC Test-of-time award","Eiichiro
              Fujisaki, Koutarou Suzuki",""
"2024","TOSC 2023","Cryptanalysis of HALFLOOP Block Ciphers: Destroying
            HALFLOOP-24","FSE 2024 best paper award","Gregor
              Leander, Shahram Rasoolzadeh, Lukas Stennes","HALFLOOP is a family of tweakable block ciphers that are
          used for encrypting automatic link establishment (ALE) messages in high frequency radio, a technology commonly
          used by the military, other government agencies and industries which require high robustness in long-distance
          communications. Recently, it was shown in [DDLS22] that the smallest version of the cipher, HALFLOOP-24, can
          be attacked within a practical time and memory complexity. However, in the real-word ALE setting, it turns out
          that this attack require to wait more than 500 years to collect the necessary amount of
          plaintext-tweak-ciphertext pairs fulfilling the conditions of the attack.In this paper, we present real-world
          practical attacks against HALFLOOP-24 which are based on a probability-one differential distinguisher. In our
          attacks, we significantly reduce the data complexity to three differential pairs in the chosen-plaintext (CPA)
          setting which is optimal in the sense that even a brute force attack needs at least six
          plaintext-tweak-ciphertext pairs to uniquely identify the correct key. Considering the same ALE setting as
          [DDLS22], this translates to a reduction from 541 years to 2 hours worth of intercepted traffic.Besides, we
          provide the first, non generic, public cryptanalysis of HALFLOOP-48 and HALFLOOP-96. More precisely, we
          present Demirci-Selçuk meet-in-the-middle attacks against full-round HALFLOOP-48 and round-reduced HALFLOOP-96
          to recover the complete master key in a CPA setting. However, unlike the attacks on HALFLOOP-24, our attacks
          on the larger versions are only theoretical. Moreover for HALFLOOP-96 the known generic time-memory trade-off
          attack, based on a flawed tweak handling, remains the strongest attack vector.In conclusion, we iterate what
          was already stated in [DDLS22]: HALFLOOP does not provide adequate protection and should not be used."
